n,Δƒₙ,δƒₙ,rₙ
3,2.81325264553621e-2,2.989834105028066e0,6.459640975062462e-1
5,2.582950013552132e-4,2.74507590150295e-2,7.969262624616703e-2
10,9.961348412801385e-10,1.0586599559025434e-7,2.3966118811901263e-5
15,5.0183454083030377e-5,5.333335516937061e-3,6.688035109811464e-10
20,1.4711819061656686e0,1.5635246428128528e2,3.269150348650871e-15
30,3.698707206038273e9,3.9308666310766156e11,2.74219419130279e-27
40,3.6153601110758274e20,3.842288028842249e22,8.15289752460592e-41
100,4.296663588679841e80,4.56635537361016e82,4.170095672270743e-139
